Sentence,SentenceKey,YesRate,ConsensusScore,GoldLabel,Sentence_text,Metaphor,Derived metaphor,Category,subcategory,sentence,Source
"I agree with you and Pamela. It is hard to relate to our families and friends sometimes. I have some pretty good days; then I have days when the “tear attacks” come out of nowhere and I can’t stop crying. I think that’s just from holding it in for far too long, trying to keep myself together. People think it should not be that upsetting to know you’re a carrier, but I feel like a ticking time bomb. My fear is not if I’ll get BC, it’s when I’ll get it, it’s always been my biggest fear. I realised not long ago that I’m exactly the same age my aunt was when she died and my kids are the same age as my cousins were then . . . . and that really shook me up. I just take it one day at a time and I’m so grateful for this group!","i agree with you and pamela. it is hard to relate to our families and friends sometimes. i have some pretty good days; then i have days when the ""tear attacks"" come out of nowhere and i can't stop crying. i think that's just from holding it in for far too long, trying to keep myself together. people think it should not be that upsetting to know you're a carrier, but i feel like a ticking time bomb. my fear is not if i'll get bc, it's when i'll get it, it's always been my biggest fear. i realised not long ago that i'm exactly the same age my aunt was when she died and my kids are the same age as my cousins were then . . . . and that really shook me up. i just take it one day at a time and i'm so grateful for this group!",1.0,1.0,yes,"I agree with you and Pamela. It is hard to relate to our families and friends sometimes. I have some pretty good days; then I have days when the “tear attacks” come out of nowhere and I can’t stop crying. I think that’s just from holding it in for far too long, trying to keep myself together. People think it should not be that upsetting to know you’re a carrier, but I feel like a ticking time bomb. My fear is not if I’ll get BC, it’s when I’ll get it, it’s always been my biggest fear. I realised not long ago that I’m exactly the same age my aunt was when she died and my kids are the same age as my cousins were then . . . . and that really shook me up. I just take it one day at a time and I’m so grateful for this group!",A GENE IS A BOMB,,,,"I agree with you and Pamela. It is hard to relate to our families and friends sometimes. I have some pretty good days; then I have days when the “tear attacks” come out of nowhere and I can’t stop crying. I think that’s just from holding it in for far too long, trying to keep myself together. People think it should not be that upsetting to know you’re a carrier, but I feel like a ticking time bomb. My fear is not if I’ll get BC, it’s when I’ll get it, it’s always been my biggest fear. I realised not long ago that I’m exactly the same age my aunt was when she died and my kids are the same age as my cousins were then . . . . and that really shook me up. I just take it one day at a time and I’m so grateful for this group! ","Kim – FORCE forum, in 146 Dead metaphors and responsibilised bodies-in transition: the implications of medical metaphors for understanding the consumption of preventative healthcare"
"In theory, blocking any of the necessary steps for invasion listed in Table 7 - I could prevent tumor cell invasion.","in theory, blocking any of the necessary steps for invasion listed in table 7 - i could prevent tumor cell invasion.",3.333.333.333.333.330,33.333.333.333.333.300,no,"In theory, blocking any of the necessary steps for invasion listed in Table 7 - I could prevent tumor cell invasion.",CARCINOGENESIS/METASTASIS_CONSIST_OF_SEVERAL_STEPS,,,Steps and stages,"In theory, blocking any of the necessary steps for invasion listed in Table 7 - I could prevent tumor cell invasion.",Metaphors in medical texts
carcinogenic chemicals and radiation activate some form of,carcinogenic chemicals and radiation activate some form of,3.333.333.333.333.330,33.333.333.333.333.300,no,carcinogenic chemicals and radiation activate some form of,,,,,,
origins of cancer through the actions of various agents,origins of cancer through the actions of various agents,0.0,1.0,no,origins of cancer through the actions of various agents,MANY_ENTITIES_ARE_CAUSATIVE_AGENTS,,,Agents,origins of cancer through the actions of various agents,Metaphors in medical texts
"at the end of the dissemination phase, the potential seeds of such metastases range from a single tumor cell to a tumor embolus visible with the naked eye.","at the end of the dissemination phase, the potential seeds of such metastases range from a single tumor cell to a tumor embolus visible with the naked eye.",1.15,0.5,yes,"at the end of the dissemination phase, the potential seeds of such metastases range from a single tumor cell to a tumor embolus visible with the naked eye.",TUMOUR_METASTASES_ARE_SEEDS_SOWN_FROM_THE_PRIMARY_TUMOUR,,,Seeds,"at the end of the dissemination phase, the potential seeds of such metastases range from a single tumor cell to a tumor embolus visible with the naked eye.",Metaphors in medical texts
"Invasion begins with transgression of the first border. In most instances, this step coincides with passage of the tumor across the first basement membrane. Continuing invasion often requires the crossing of more tissue borders and, possibly, of more basement membranes.","invasion begins with transgression of the first border. in most instances, this step coincides with passage of the tumor across the first basement membrane. continuing invasion often requires the crossing of more tissue borders and, possibly, of more basement membranes.",0.8,6.000.000.000.000.000,yes,"Invasion begins with transgression of the first border. In most instances, this step coincides with passage of the tumor across the first basement membrane. Continuing invasion often requires the crossing of more tissue borders and, possibly, of more basement membranes.",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,"Invasion begins with transgression of the first border. In most instances, this step coincides with passage of the tumor across the first basement membrane. Continuing invasion often requires the crossing of more tissue borders and, possibly, of more basement membranes.",Metaphors in medical texts
the specificity of the genetic code,the specificity of the genetic code,0.0,1.0,no,the specificity of the genetic code,A_GENOME_IS_A_TEXT,,,Text,the specificity of the genetic code,Metaphors in medical texts
DNA-damaging agents often stop cells in the G2 phase,dna-damaging agents often stop cells in the g2 phase,0.5,0.0,Tie,DNA-damaging agents often stop cells in the G2 phase,MANY_ENTITIES_ARE_CAUSATIVE_AGENTS,,,Agents,DNA-damaging agents often stop cells in the G2 phase,Metaphors in medical texts
transcriptional factors,transcriptional factors,0.5,0.0,Tie,transcriptional factors,A_GENOME_IS_A_TEXT,,,Text,transcriptional factors,Metaphors in medical texts
“immunotherapies” hijack our natural defences to combat cancer,"immunotherapies"" hijack our natural defences to combat cancer",1.0,1.0,yes,“immunotherapies” hijack our natural defences to combat cancer,,,,,,
a six-base recognition sequence,a six-base recognition sequence,3.333.333.333.333.330,33.333.333.333.333.300,no,a six-base recognition sequence,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,a six-base recognition sequence,Metaphors in medical texts
"“Dengue fever crashes and regroups the immune system, so that it is reset to kill tumour cells,” says Bruce Lyday at PrimeVax","dengue fever crashes and regroups the immune system, so that it is reset to kill tumour cells,"" says bruce lyday at primevax",6.666.666.666.666.660,33.333.333.333.333.300,yes,"“Dengue fever crashes and regroups the immune system, so that it is reset to kill tumour cells,” says Bruce Lyday at PrimeVax",MEDICINE_IS_WAR,,,,"“Dengue fever crashes and regroups the immune system, so that it is reset to kill tumour cells,” says Bruce Lyday at PrimeVax","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
after an injury the excessive loss of differentiated cells triggers the recruitment of quiescent cells into the proliferative pool.,after an injury the excessive loss of differentiated cells triggers the recruitment of quiescent cells into the proliferative pool.,0.0,1.0,no,after an injury the excessive loss of differentiated cells triggers the recruitment of quiescent cells into the proliferative pool.,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,after an injury the excessive loss of differentiated cells triggers the recruitment of quiescent cells into the proliferative pool.,Metaphors in medical texts
ask your chemo nurses or your specialist if your looking for anything that might be of help in your fight against cancer,ask your chemo nurses or your specialist if your looking for anything that might be of help in your fight against cancer,6.666.666.666.666.660,33.333.333.333.333.300,yes,ask your chemo nurses or your specialist if your looking for anything that might be of help in your fight against cancer,DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,ask your chemo nurses or your specialist if your looking for anything that might be of help in your fight against cancer,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
I have to avoid diabetes like the plague,i have to avoid diabetes like the plague,1.0,1.0,yes,I have to avoid diabetes like the plague,DIABETES IS TRANSMITTABLE,,Development of disease,,I have to avoid diabetes like the plague,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
oncogenes can control expression of...and can alter their signaling pathways,oncogenes can control expression of...and can alter their signaling pathways,6.666.666.666.666.660,33.333.333.333.333.300,yes,oncogenes can control expression of...and can alter their signaling pathways,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,"Communication, signals and messengers",oncogenes can control expression of...and can alter their signaling pathways,Metaphors in medical texts
"I had been able to handle the logistics when Mark was having his surgery two weeks before mine, but now we both headed home for six weeks of recovery together.","i had been able to handle the logistics when mark was having his surgery two weeks before mine, but now we both headed home for six weeks of recovery together.",0.0,1.0,no,"I had been able to handle the logistics when Mark was having his surgery two weeks before mine, but now we both headed home for six weeks of recovery together.",CANCER_IS_JOURNEY,,,,"I had been able to handle the logistics when Mark was having his surgery two weeks  before mine, but now we both headed home for six weeks of recovery together.","THE USE OF CONCEPTUAL METAPHOR IN CANCER  PATIENT STORIES ON A CANCER CENTER WEBSITE Iska Agnesya Fereralda 1 * Shanty A.Y.P.S Duwila, S . S., M.Pd 2 Yulis Setyowati, S.Pd., M.Pd.B.I"
The nature of putative second messengers is obscure,the nature of putative second messengers is obscure,0.5,0.0,Tie,The nature of putative second messengers is obscure,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,"Communication, signals and messengers",The nature of putative second messengers is obscure,Metaphors in medical texts
"Human faces have tremendous variability. This variability is genetic variability. As everyone knows, some people have blue eyes, white skin and square cheeks. The same genetic dynamic occurs with cancer cells, which are a part of the human body controlled by the genetic composition of that person. One of the reasons that cancer drugs work so poorly is that they don't account for the genetic profile of the individual patient. In a fashion, drug development consists of","human faces have tremendous variability. this variability is genetic variability. as everyone knows, some people have blue eyes, white skin and square cheeks. the same genetic dynamic occurs with cancer cells, which are a part of the human body controlled by the genetic composition of that person. one of the reasons that cancer drugs work so poorly is that they don't account for the genetic profile of the individual patient. in a fashion, drug development consists of",1.0,1.0,yes,"Human faces have tremendous variability. This variability is genetic variability. As everyone knows, some people have blue eyes, white skin and square cheeks. The same genetic dynamic occurs with cancer cells, which are a part of the human body controlled by the genetic composition of that person. One of the reasons that cancer drugs work so poorly is that they don't account for the genetic profile of the individual patient. In a fashion, drug development consists of",,,,,,
I would do certain meditations so I felt fairly connected.,i would do certain meditations so i felt fairly connected.,0.5,0.0,Tie,I would do certain meditations so I felt fairly connected.,MIND IS A BRITTLE OBJECT (TO HEAL ONE MUST KEEP IT TOGETHER),,,,I would do certain meditations so I felt fairly connected.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_42"
antineoplastic drugs,antineoplastic drugs,0.25,0.5,no,antineoplastic drugs,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,antineoplastic drugs,Metaphors in medical texts
"The action of these substances might, in part, explain both the markedly invasive character and the metastatic property of malignang neoplastic cells.","the action of these substances might, in part, explain both the markedly invasive character and the metastatic property of malignang neoplastic cells.",1.0,1.0,yes,"The action of these substances might, in part, explain both the markedly invasive character and the metastatic property of malignang neoplastic cells.",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,"The action of these substances might, in part, explain both the markedly invasive character and the metastatic property of malignang neoplastic cells.",Metaphors in medical texts
to determine cell survivability in the treated animals...,to determine cell survivability in the treated animals...,3.333.333.333.333.330,33.333.333.333.333.300,no,to determine cell survivability in the treated animals...,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fate and survival,to determine cell survivability in the treated animals...,Metaphors in medical texts
"Both foulds' concept of progression and the concept of initiation and promotion were developed from model systems in animals. Today, however, it is apparent that the multistage characteristic of carcinogenesis is not unique to these experimental systems...","both foulds' concept of progression and the concept of initiation and promotion were developed from model systems in animals. today, however, it is apparent that the multistage characteristic of carcinogenesis is not unique to these experimental systems...",0.0,1.0,no,"Both foulds' concept of progression and the concept of initiation and promotion were developed from model systems in animals. Today, however, it is apparent that the multistage characteristic of carcinogenesis is not unique to these experimental systems...",CARCINOGENESIS/METASTASIS_CONSIST_OF_SEVERAL_STEPS,,,Steps and stages,"Both foulds' concept of progression and the concept of initiation and promotion were developed from model systems in animals. Today, however, it is apparent that the multistage characteristic of carcinogenesis is not unique to these experimental systems...",Metaphors in medical texts
Cells of limited lifespan,cells of limited lifespan,6.666.666.666.666.660,33.333.333.333.333.300,yes,Cells of limited lifespan,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,Cells of limited lifespan,Metaphors in medical texts
"natural history of chemical carcinogenesis: stages of initiation, promotion, and progression","natural history of chemical carcinogenesis: stages of initiation, promotion, and progression",6.666.666.666.666.660,33.333.333.333.333.300,yes,"natural history of chemical carcinogenesis: stages of initiation, promotion, and progression",CARCINOGENESIS/METASTASIS_CONSIST_OF_SEVERAL_STEPS,,,Steps and stages,"natural history of chemical carcinogenesis: stages of initiation, promotion, and progression",Metaphors in medical texts
"DNase footprinting, DNA footprinting","dnase footprinting, dna footprinting",0.5,0.0,Tie,"DNase footprinting, DNA footprinting",ISOLATED_METAPHORS,,,Isolated metaphors,"DNase footprinting, DNA footprinting",Metaphors in medical texts
"The matrix determines tissue architecture, has important biologic functions, and is a mechanical barrier to invasion","the matrix determines tissue architecture, has important biologic functions, and is a mechanical barrier to invasion",8.333.333.333.333.330,6.666.666.666.666.660,yes,"The matrix determines tissue architecture, has important biologic functions, and is a mechanical barrier to invasion",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,"The matrix determines tissue architecture, has important biologic functions, and is a mechanical barrier to invasion",Metaphors in medical texts
The British-Bangladeshi baker and writer has spoken openly and often about her lifelong struggle with anxiety,the british-bangladeshi baker and writer has spoken openly and often about her lifelong struggle with anxiety,1.0,1.0,yes,The British-Bangladeshi baker and writer has spoken openly and often about her lifelong struggle with anxiety,MEDICINE_IS_WAR,,,,The British-Bangladeshi baker and writer has spoken openly and often about her lifelong struggle with anxiety,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
to suppress colonizing organisms,to suppress colonizing organisms,3.333.333.333.333.330,33.333.333.333.333.300,no,to suppress colonizing organisms,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,to suppress colonizing organisms,Metaphors in medical texts
providing additional nutrients,providing additional nutrients,0.0,1.0,no,providing additional nutrients,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Metabolism and nutrition,providing additional nutrients,Metaphors in medical texts
An increased understanding of the mechanisms of tumor cell invasion may lead to the development of pharmacologic agents or strategies that block tumor cell invasion,an increased understanding of the mechanisms of tumor cell invasion may lead to the development of pharmacologic agents or strategies that block tumor cell invasion,4.166.666.666.666.660,16.666.666.666.666.600,no,An increased understanding of the mechanisms of tumor cell invasion may lead to the development of pharmacologic agents or strategies that block tumor cell invasion,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,An increased understanding of the mechanisms of tumor cell invasion may lead to the development of pharmacologic agents or strategies that block tumor cell invasion,Metaphors in medical texts
a single strand is copied from a primer molecule by DNA polymerase,a single strand is copied from a primer molecule by dna polymerase,0.5,0.0,Tie,a single strand is copied from a primer molecule by DNA polymerase,A_GENOME_IS_A_TEXT,,,Text,a single strand is copied from a primer molecule by DNA polymerase,Metaphors in medical texts
"Young children are not infected and do not transmit the virus,","young children are not infected and do not transmit the virus,",6.666.666.666.666.660,33.333.333.333.333.300,yes,"Young children are not infected and do not transmit the virus,",,,,,,
"...it was hoped that ..., vaccination with antologous or allogeneic tumor cells of the same histologous type would force the immune apparatus to kill residual tumor cells","...it was hoped that ..., vaccination with antologous or allogeneic tumor cells of the same histologous type would force the immune apparatus to kill residual tumor cells",0.0,1.0,no,"...it was hoped that ..., vaccination with antologous or allogeneic tumor cells of the same histologous type would force the immune apparatus to kill residual tumor cells",A_CELL_IS_A_MACHINE,,,Machine and mechanism,"...it was hoped that ..., vaccination with antologous or allogeneic tumor cells of the same histologous type would force the immune apparatus to kill residual tumor cells",Metaphors in medical texts
"biochemical marker, one that is present in some cells of the host but not in others. This mosaicism...","biochemical marker, one that is present in some cells of the host but not in others. this mosaicism...",0.5,0.0,Tie,"biochemical marker, one that is present in some cells of the host but not in others. This mosaicism...",ISOLATED_METAPHORS,,,Isolated metaphors,"biochemical marker, one that is present in some cells of the host but not in others. This mosaicism...",Metaphors in medical texts
Developing treatments that attack cancer cells but leave healthy tissue unharmed is the holy grail of cancer research,developing treatments that attack cancer cells but leave healthy tissue unharmed is the holy grail of cancer research,1.0,1.0,yes,Developing treatments that attack cancer cells but leave healthy tissue unharmed is the holy grail of cancer research,ISOLATED----,,,,Developing treatments that attack cancer cells but leave healthy tissue unharmed is the holy grail of cancer research,"The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
All the genetic information of an organism encoded in the DNA genome present in each living cell,all the genetic information of an organism encoded in the dna genome present in each living cell,3.333.333.333.333.330,33.333.333.333.333.300,no,All the genetic information of an organism encoded in the DNA genome present in each living cell,A_GENOME_IS_A_TEXT,,,Text,All the genetic information of an organism encoded in the DNA genome present in each living cell,Metaphors in medical texts
Continued invasion of the matrix may take place by cyclic repetition of these three steps,continued invasion of the matrix may take place by cyclic repetition of these three steps,1.0,1.0,yes,Continued invasion of the matrix may take place by cyclic repetition of these three steps,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,Continued invasion of the matrix may take place by cyclic repetition of these three steps,Metaphors in medical texts
The operation promised to reshape organ transplantation,the operation promised to reshape organ transplantation,6.666.666.666.666.660,33.333.333.333.333.300,yes,The operation promised to reshape organ transplantation,MEDICINE_IS_AGRICULTURE,,,,The operation promised to reshape organ transplantation,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
In that situation it's so easy to fall ill because it's just not a clean place,in that situation it's so easy to fall ill because it's just not a clean place,0.5,0.0,Tie,In that situation it's so easy to fall ill because it's just not a clean place,"HEALTH_IS_UP, ILLNESS_IS_DOWN",,,,In that situation it's so easy to fall ill because it's just not a clean place,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
"cDNA libraries prepared in a similar manner have been useful for identifying transcripts that are differentially regulated in relted cell types in the so-called subtraction cloning technique. For example, to identify novel transcripts that are expressed in ...","cdna libraries prepared in a similar manner have been useful for identifying transcripts that are differentially regulated in relted cell types in the so-called subtraction cloning technique. for example, to identify novel transcripts that are expressed in ...",3.333.333.333.333.330,33.333.333.333.333.300,no,"cDNA libraries prepared in a similar manner have been useful for identifying transcripts that are differentially regulated in relted cell types in the so-called subtraction cloning technique. For example, to identify novel transcripts that are expressed in ...",A_GENOME_IS_A_TEXT,,,Text,"cDNA libraries prepared in a similar manner have been useful for identifying transcripts that are differentially regulated in relted cell types in the so-called subtraction cloning technique. For example, to identify novel transcripts that are expressed in ...",Metaphors in medical texts
My process of living feels like two divergent realities.,my process of living feels like two divergent realities.,6.666.666.666.666.660,33.333.333.333.333.300,yes,My process of living feels like two divergent realities.,LIFE AND CANCER ARE NATURAL PROCESSES,,,,My process of living feels like two divergent realities.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_33"
Like sugar? So does...diabetes,like sugar? so does...diabetes,1.0,1.0,yes,Like sugar? So does...diabetes,DIABETES IS AN ACTOR,,Development of disease,,Like sugar? So does...diabetes,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
One option was to do nothing and just live with the odds.,one option was to do nothing and just live with the odds.,1.0,1.0,yes,One option was to do nothing and just live with the odds.,LIFE IS A GAMBLING GAME,CANCER AND ITS TREATMENT IS A GAME,,,One option was to do nothing and just live with the odds.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_11"
the malignant behavior of these cells,the malignant behavior of these cells,1.0,1.0,yes,the malignant behavior of these cells,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Abilities, attributes and behaviour",the malignant behavior of these cells,Metaphors in medical texts
Both of these barriers have various collagen types that compose the structural scaffolding upon which other matrix components such as ... are assembled.,both of these barriers have various collagen types that compose the structural scaffolding upon which other matrix components such as ... are assembled.,1.0,1.0,yes,Both of these barriers have various collagen types that compose the structural scaffolding upon which other matrix components such as ... are assembled.,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,Both of these barriers have various collagen types that compose the structural scaffolding upon which other matrix components such as ... are assembled.,Metaphors in medical texts
susceptible to immune attack,susceptible to immune attack,0.25,0.5,no,susceptible to immune attack,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,susceptible to immune attack,Metaphors in medical texts
If the collection of DNA fragments inserted into phage is representative of the entire genome ... the collection of lambda phage particles generated is termed a genomic library.,if the collection of dna fragments inserted into phage is representative of the entire genome ... the collection of lambda phage particles generated is termed a genomic library.,3.333.333.333.333.330,33.333.333.333.333.300,no,If the collection of DNA fragments inserted into phage is representative of the entire genome ... the collection of lambda phage particles generated is termed a genomic library.,A_GENOME_IS_A_TEXT,,,Text,If the collection of DNA fragments inserted into phage is representative of the entire genome ... the collection of lambda phage particles generated is termed a genomic library.,Metaphors in medical texts
At the age of 40 I had the chance to look at what was really important and make sure I didn’t miss it.,at the age of 40 i had the chance to look at what was really important and make sure i didn't miss it.,0.5,0.0,Tie,At the age of 40 I had the chance to look at what was really important and make sure I didn’t miss it.,UNDERSTANDING IS SEEING,CANCER CLEARS VISION AND ALLOWS FOR NEW UNDERSTANDING,,,At the age of 40 I had the chance to look at what was really important and make sure I didn’t miss it.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_14"
