Metaphor,Derived metaphor,Category,subcategory,Example,Source
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Fate and survival,...do not record the fate of individual cells,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Fate and survival,a large number of these hypoxic cells might in fact be doomed,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fate and survival,[of cancer elements] Their further fate depends on various factors,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fate and survival,the complexity of factors affecting the fate of the blood-borne cancer cells,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fate and survival,...and therefore these cells will survive treatment,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fate and survival,repopulation of surviving cells,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fate and survival,the initiated cell survives,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fate and survival,"after a single dose of radiation, the surviving tumor cells...",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fate and survival,to determine cell survivability in the treated animals...,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fate and survival,cells equipped with the capacities of survival and proliferation,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fate and survival,their [blood-borne cancer cells'] best chance of survival,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fate and survival,their [cancer cells'] chance of survival,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fate and survival,the survival of the different types of tumor cells varies widely,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fate and survival,A large foundation of experimental work suggests that during each stage of the process of metastasis the rules of survival of the fittest tumor cells apply.,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",cells...and their progeny,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",with the stem cells as the progenitors of the compartment,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families","In normal renewal populations, there is evidence for the existence of a small population of stem cells whose progeny can proliferate and differentiate to repopulate the tissue",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",its [the tumor cell's] ability to produce a large number of progeny,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",daughter cell,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",Spontaneously initiated cells...may thus be considered the progenitors of spontaneous nepolasms,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",the parental tumor,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",many old established [cell] lines,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",tumor lines,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",Normal cells may be able to continue proliferation in culture only for a limited number of generations,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",cell lineages,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families","It [the cell] may divide, giving rise to one or more generations of daughter cells before some or all of the progeny become sterile. These colonies in which some reproductively viable progeny emerge may then regrow",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",cellular pedigree,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",parental strand [of DNA],Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families","the new DNA molecules, each consisting of a parent strand and ..., are partitioned to each daughter cell",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families","Short-lived daughters or progeny that are isotopes of polonium, lead and bismuth",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",the radon and thoron daughters attach to areosol particles,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",members of the tyrosine kinase family of growth factor receptors,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",members of the fibroblast growth factor family,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fertility and sterility,such functional but sterile cells will nor appear different from fertile cells,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fertility and sterility,"It [the cell] may divide, giving rise to one or more generations of daughter cells before some or all of the progeny become sterile",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fertility and sterility,the cells that mutated received sufficient radiation to become sterile,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fertility and sterility,the radiation dose necessary to sterilize hypoxic cells,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Metabolism and nutrition,[each gene] has a unique function in cellular metabolism,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Metabolism and nutrition,"Difficulties in interpretation arise from the complexity of cell growth, with its multitude of biochemical reactions that are connected into a great metabolic network",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Metabolism and nutrition,cell death owing to inadequate nutrition,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Metabolism and nutrition,nutrient capillaries,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Metabolism and nutrition,providing additional nutrients,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Metabolism and nutrition,"a layer of ""feeder cells""",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Metabolism and nutrition,if they [cells] are starved for a nutrient,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Metabolism and nutrition,cellular nutrition,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Metabolism and nutrition,poor nutrition may cause cells to become quiescent,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Metabolism and nutrition,"Tumor cells may be out of cycle because of...limited access, to nutrients",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Metabolism and nutrition,a population of poorly nourished cells,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Abilities, attributes and behaviour",Growth of more fastidious cells,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Abilities, attributes and behaviour",[of tumors] their intrinsic aggressiveness,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Abilities, attributes and behaviour",This behavior of tumor cells in culture reflects their behaviour in vivo,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Abilities, attributes and behaviour","These cells' geoth-oriented, independent behavior appears to correlate with...",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Abilities, attributes and behaviour","Thus in polyclonal populations, interactions are occurring which stabilize and control the behaviour of the complete tumour",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Abilities, attributes and behaviour",the behavior of blood-borne cancer cells,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Abilities, attributes and behaviour",At a metastatic site these cells can be expected to display one of the following modes of behavior: (a) they die; (b) they survive without further activity; (c) they multiply; (d) they multiply and invade,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Abilities, attributes and behaviour",the malignant behavior of these cells,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Abilities, attributes and behaviour","many growth factors and cell receptors can, under the appropriate circumstances, behave as oncogenes",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Abilities, attributes and behaviour","The analogies between GCN-4, jun oncogene and Apl strongly suggest that one mechanism of oncogenesis may be a transcriptional element gone awry",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,"the cells do not migrate across one another, and they line up in a monolayer of parallel cells",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,cells...their ability to grow to much higher cell densities,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,"Nontumorogenic cultured cells often cease growth as a well-ordered monolayer. Transformed cells, by contrast, often crisscross each other randomly, forming local piles of viable cells.",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,"How each cell determines its phenotype and maintains its cellular function throughout its life is a marvelous, albeit complex, achievement.",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,If a cell aquires the ability to produce its own growth factors...,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,certain tumours...have shown to have a great capacity to repair radiation damage,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,cancer cells demonstrate the ability to circumvent a well-defined pathway of attack to a given cytoxic agent,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,providing the cell with the ability to withstand toxic agents,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,"cells have the capacity to call upon an adaptive, coordinated, defense mechanism when assaulted by cyclotoxins",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,NK cells are cells that can lyse a select group of cultured cell lines,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,LAK cells are cells that develop the ability to kill fresh tumor cells,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,the cells that can mediate the greatest killing,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,These investigators speculated that tumors pick up some of the injected antibodies nonspecifically.,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,some tumors have managed to escape immune detection,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,"Most of the restriction enzymes...recognize either six, five, or four nucleotide base pairs of DNA sequence",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,It has been shown that cells express specific cell surface receptors that recognize extracellular matrix proteins,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,"The protruding pseudopodia may serve multiple functions, including (1) acting as ""sense organs""...",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,A limited number of antibodies have also been developed that recognize tumor antigens unique to...,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,T cells...recognize antigen via receptor molecules,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,"Whereas B cells can recognize antigen alone, T cells recognize antigen in association with MHC molecules",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,These antibodies recognize products that are normally expressed early in fetal life...,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,This change renders T cells blind to the tumor,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,T cells look for the presence of new antigens,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,"But where single cells are concerned, the decisive factor might be a change in the sensory world of these cells, manifesting itself as a loss of basement membrane perception",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,a six-base recognition sequence,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,a six-base recognition restriction enzyme,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,[certain cells] can kill tumor cells but have no memory and no antigen-specific tumor recognition capacity.,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,Cells in their environments,Populations,A malignant tumor may be characterized as a cell population that increases continually,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Populations,the total population of cells,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Populations,the renewing cell populations,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Populations,"In normal renewal populations, there is evidence for the existence of a small population of stem cells whose progeny can proliferate and differentiate to repopulate the tissue",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Populations,"only if one assumes that the target cell population (i.e., stem cells) is much smaller ...",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Populations,"Recently, a third population of lymphocytes, null cells, has been identified that express neither T nor B cell-surface markers",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Populations,"At the time of diagnosis, most neoplasms consist of different population of cells with diverse biologic characteristics",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Populations,"In addition to spontaneous repopulation, there may be an induced cell proliferation or recruitment of cells",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Environment and neighbours,cancer cells continue to grow in environments that stop normal cells,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Environment and neighbours,cell fusions between differentiated and nondifferentiated partners,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Environment and neighbours,blood-borne cancer cells are in a predominantly hostile environment,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Environment and neighbours,a single cell undergoes some change which gives it a selective advantage for growth over its neighbouring cells,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Functions,cytotoxic killer cells and lymphokine activated killer cells,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Functions,"function as tumor suppressors or ""anti-oncogenes""",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Functions,"although separate functions have been assigned to these cell types, it is now clear that they interact in many ways and can regulate each others' activities",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Functions,"Lymphocytes...fall into three classes - B cells, T cells, and null cells - on the basis of ontogeny and function.",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Functions,"Although T cells were initially subtyped by functions (helper, suppressor, cytotoxic), it has now been possible to identify two major T cell subsets, ...",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Functions,"Both helper and cytotoxic functions can be ascribed to cells of each lineage, a and other antigens have been useful to further delineate functional subsets within each of these T-cell populations",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Functions,"Although the principal function of null cells is not known, ...",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Functions,cells equipped with the capacities of survival and proliferation. Apparently this functional outfit is frequently confined to subsets of the original tumor cell population,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Functions,suppressor T cells; cytotoxic T cells; natural killer cells NK,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,spontaneous tumors,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,spontaneous cancers,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,uncontrolled growth,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,autonomous growth of tissue,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,"excessive, uncoordinated growth autonomous from normal rregulatory stimuli",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,tissues composed of cells that have become independent to some degree of the normal growth-controlling forces of the host,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,"Neoplastic cells have changed so as to become ""asocial""; their environment, including neighboring cells, affects them less stringently.",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,normal growth control,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,cancer cells continue to grow in environments that stop normal cells,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,Normal stem cells are susceptible to a variety of positively and negatively acting growth factors that provide a growth regulatory feedback network,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,The cells disregard one another and are seen as dense colonies in which cells cross over one another,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,Tumorogenic cells in culture have diminished sensitivity to the presence of other cells in their immediate vicinity.,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,Another feature of cancer cells' interactions in culture is that their growth tends to be disorganized,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,"Nontumorogenic cultured cells often cease growth as a well-ordered monolayer. Transformed cells, by contrast, often crisscross each other randomly, forming local piles of viable cells.",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,mitosis and cell division follow without much overall control from external agents,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,"if a cell aquires the ability to produce its own growth factors... it then is under less stringent external growth control and has a selective growth advantage over neighboring cells, which are still subject to external regulation",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,the tumor cell may also achieve the same type of autonomy by modification of...,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,oncogenes confer growth factor autonomy to cells,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,failure to govern the cytotoxic T cells and natural killer cells,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,"This in polyclonal populations, interactions are occurring which stabilize and control the behaviour of the complete tumour.",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,"cancer cells subpopulations are not autonomously operating units, but prone to interactions with other subpopulations",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Interactions,"The discovery that the action of two oncogenes, myc and foss, are involved in this process, is yet another example of intimate relationships between growth factors and oncogenes",Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Interactions,cooperative interactions of several growth factors,Metaphors in medical texts
(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Interactions,cell-cell interactions,Metaphors in medical texts
