Column,Question,HumanCounts,GoldStandard,LLMAnswer,Result,IsCorrect
"QID25 - Does this sentence contain a metaphor?
Sentence: ""Don’t die on me! No diabetes allowed. LOL""","Does this sentence contain a metaphor?
Sentence: ""Don’t die on me! No diabetes allowed. LOL""",{'yes': 3},yes,no,LLM does NOT match the gold standard.,False
"QID27 - Does this sentence contain a metaphor?
Sentence: ""[of DNA molecules] head-to-head or head-to-tail joining also may occur""","Does this sentence contain a metaphor?
Sentence: ""[of DNA molecules] head-to-head or head-to-tail joining also may occur""",{'yes': 1},yes,no,LLM does NOT match the gold standard.,False
"QID29 - Does this sentence contain a metaphor?
Sentence: ""GCN-4 is a transcriptional control element in yeast""","Does this sentence contain a metaphor?
Sentence: ""GCN-4 is a transcriptional control element in yeast""",{'no': 1},no,no,LLM matches the gold standard.,True
"QID31 - Does this sentence contain a metaphor?
Sentence: ""brush-and-spray-like configuration [cancer cells]""","Does this sentence contain a metaphor?
Sentence: ""brush-and-spray-like configuration [cancer cells]""",{'yes': 1},yes,**yes**,LLM does NOT match the gold standard.,False
"QID33 - Does this sentence contain a metaphor?
Sentence: ""I agree with you and Pamela. It is hard to relate to our families and friends sometimes. I have some pretty good days; then I have days when the “tear attacks” come out of nowhere and I can’t stop crying. I think that’s just from holding it in for far too long, trying to keep myself together. People think it should not be that upsetting to know you’re a carrier, but I feel like a ticking time bomb. My fear is not if I’ll get BC, it’s when I’ll get it, it’s always been my biggest fear. I realised not long ago that I’m exactly the same age my aunt was when she died and my kids are the same age as my cousins were then . . . . and that really shook me up. I just take it one day at a time and I’m so grateful for this group! ""","Does this sentence contain a metaphor?
Sentence: ""I agree with you and Pamela. It is hard to relate to our families and friends sometimes. I have some pretty good days; then I have days when the “tear attacks” come out of nowhere and I can’t stop crying. I think that’s just from holding it in for far too long, trying to keep myself together. People think it should not be that upsetting to know you’re a carrier, but I feel like a ticking time bomb. My fear is not if I’ll get BC, it’s when I’ll get it, it’s always been my biggest fear. I realised not long ago that I’m exactly the same age my aunt was when she died and my kids are the same age as my cousins were then . . . . and that really shook me up. I just take it one day at a time and I’m so grateful for this group! """,{'yes': 2},yes,**yes**,LLM does NOT match the gold standard.,False
"QID35 - Does this sentence contain a metaphor?
Sentence: ""In theory, blocking any of the necessary steps for invasion listed in Table 7 - I could prevent tumor cell invasion.""","Does this sentence contain a metaphor?
Sentence: ""In theory, blocking any of the necessary steps for invasion listed in Table 7 - I could prevent tumor cell invasion.""","{'no': 1, 'yes': 1}",Tie,**no**,Tie among humans; accepted.,True
"QID37 - Does this sentence contain a metaphor?
Sentence: ""carcinogenic chemicals and radiation activate some form of ""error-prone"" mechanisms of DNA repair or replication.""","Does this sentence contain a metaphor?
Sentence: ""carcinogenic chemicals and radiation activate some form of ""error-prone"" mechanisms of DNA repair or replication.""",{'no': 2},no,no,LLM matches the gold standard.,True
"QID39 - Does this sentence contain a metaphor?
Sentence: ""origins of cancer through the actions of various agents""","Does this sentence contain a metaphor?
Sentence: ""origins of cancer through the actions of various agents""",{'no': 1},no,no,LLM matches the gold standard.,True
"QID41 - Does this sentence contain a metaphor?
Sentence: ""at the end of the dissemination phase, the potential seeds of such metastases range from a single tumor cell to a tumor embolus visible with the naked eye.""","Does this sentence contain a metaphor?
Sentence: ""at the end of the dissemination phase, the potential seeds of such metastases range from a single tumor cell to a tumor embolus visible with the naked eye.""","{'no': 1, 'yes': 1}",Tie,**yes**,Tie among humans; accepted.,True
"QID43 - Does this sentence contain a metaphor?
Sentence: ""Invasion begins with transgression of the first border. In most instances, this step coincides with passage of the tumor across the first basement membrane. Continuing invasion often requires the crossing of more tissue borders and, possibly, of more basement membranes.""","Does this sentence contain a metaphor?
Sentence: ""Invasion begins with transgression of the first border. In most instances, this step coincides with passage of the tumor across the first basement membrane. Continuing invasion often requires the crossing of more tissue borders and, possibly, of more basement membranes.""","{'yes': 2, 'no': 1}",yes,**yes**,LLM does NOT match the gold standard.,False
"QID45 - Does this sentence contain a metaphor?
Sentence: ""the specificity of the genetic code""","Does this sentence contain a metaphor?
Sentence: ""the specificity of the genetic code""",{'no': 2},no,no,LLM matches the gold standard.,True
"QID47 - Does this sentence contain a metaphor?
Sentence: ""DNA-damaging agents often stop cells in the G2 phase""","Does this sentence contain a metaphor?
Sentence: ""DNA-damaging agents often stop cells in the G2 phase""",{'yes': 1},yes,no,LLM does NOT match the gold standard.,False
"QID49 - Does this sentence contain a metaphor?
Sentence: ""transcriptional factors""","Does this sentence contain a metaphor?
Sentence: ""transcriptional factors""","{'no': 2, 'yes': 1}",no,**no**,LLM does NOT match the gold standard.,False
"QID51 - Does this sentence contain a metaphor?
Sentence: ""“immunotherapies” hijack our natural defences to combat cancer""","Does this sentence contain a metaphor?
Sentence: ""“immunotherapies” hijack our natural defences to combat cancer""",{'yes': 2},yes,**yes**,LLM does NOT match the gold standard.,False
"QID53 - Does this sentence contain a metaphor?
Sentence: ""a six-base recognition sequence""","Does this sentence contain a metaphor?
Sentence: ""a six-base recognition sequence""","{'yes': 1, 'no': 1}",Tie,no,Tie among humans; accepted.,True
"QID55 - Does this sentence contain a metaphor?
Sentence: ""“Dengue fever crashes and regroups the immune system, so that it is reset to kill tumour cells,” says Bruce Lyday at PrimeVax""","Does this sentence contain a metaphor?
Sentence: ""“Dengue fever crashes and regroups the immune system, so that it is reset to kill tumour cells,” says Bruce Lyday at PrimeVax""","{'yes': 2, 'no': 1}",yes,**yes**,LLM does NOT match the gold standard.,False
"QID59 - Does this sentence contain a metaphor?
Sentence: ""ask your chemo nurses or your specialist if your looking for anything that might be of help in your fight against cancer""","Does this sentence contain a metaphor?
Sentence: ""ask your chemo nurses or your specialist if your looking for anything that might be of help in your fight against cancer""","{'yes': 1, 'no': 1}",Tie,no,Tie among humans; accepted.,True
"QID61 - Does this sentence contain a metaphor?
Sentence: ""I have to avoid diabetes like the plague""","Does this sentence contain a metaphor?
Sentence: ""I have to avoid diabetes like the plague""",{'yes': 1},yes,**yes**,LLM does NOT match the gold standard.,False
"QID63 - Does this sentence contain a metaphor?
Sentence: ""oncogenes can control expression of...and can alter their signaling pathways""","Does this sentence contain a metaphor?
Sentence: ""oncogenes can control expression of...and can alter their signaling pathways""",{'yes': 2},yes,no,LLM does NOT match the gold standard.,False
"QID65 - Does this sentence contain a metaphor?
Sentence: ""I had been able to handle the logistics when Mark was having his surgery two weeks  before mine, but now we both headed home for six weeks of recovery together.""","Does this sentence contain a metaphor?
Sentence: ""I had been able to handle the logistics when Mark was having his surgery two weeks  before mine, but now we both headed home for six weeks of recovery together.""",{'no': 1},no,no,LLM matches the gold standard.,True
"QID67 - Does this sentence contain a metaphor?
Sentence: ""The nature of putative second messengers is obscure""","Does this sentence contain a metaphor?
Sentence: ""The nature of putative second messengers is obscure""",{'yes': 1},yes,no,LLM does NOT match the gold standard.,False
"QID69 - Does this sentence contain a metaphor?
Sentence: ""Human faces have tremendous variability.  This variability is genetic variability. As everyone knows, some people have blue eyes, white skin and square cheeks. The same genetic dynamic occurs with cancer cells, which are a part of the human body controlled by the genetic composition of that person.  One of the reasons that cancer drugs work so poorly is that they don't account for the genetic profile  of the individual patient. In a fashion, drug development consists of """"training"""" molecules recognize cancer cell. Because of variability between the cell line used to develop the drug and the cancers cells in the patients,  the drugs have a tendency, not recognize the cancer and get lost in the body.""","Does this sentence contain a metaphor?
Sentence: ""Human faces have tremendous variability.  This variability is genetic variability. As everyone knows, some people have blue eyes, white skin and square cheeks. The same genetic dynamic occurs with cancer cells, which are a part of the human body controlled by the genetic composition of that person.  One of the reasons that cancer drugs work so poorly is that they don't account for the genetic profile  of the individual patient. In a fashion, drug development consists of """"training"""" molecules recognize cancer cell. Because of variability between the cell line used to develop the drug and the cancers cells in the patients,  the drugs have a tendency, not recognize the cancer and get lost in the body.""",{'yes': 2},yes,no,LLM does NOT match the gold standard.,False
"QID71 - Does this sentence contain a metaphor?
Sentence: ""I would do certain meditations so I felt fairly connected.""","Does this sentence contain a metaphor?
Sentence: ""I would do certain meditations so I felt fairly connected.""","{'yes': 2, 'no': 1}",yes,no,LLM does NOT match the gold standard.,False
"QID73 - Does this sentence contain a metaphor?
Sentence: ""antineoplastic drugs""","Does this sentence contain a metaphor?
Sentence: ""antineoplastic drugs""","{'no': 2, 'yes': 1}",no,**no**,LLM does NOT match the gold standard.,False
"QID77 - Does this sentence contain a metaphor?
Sentence: ""to determine cell survivability in the treated animals...""","Does this sentence contain a metaphor?
Sentence: ""to determine cell survivability in the treated animals...""","{'no': 2, 'yes': 1}",no,no,LLM matches the gold standard.,True
"QID79 - Does this sentence contain a metaphor?
Sentence: ""Both foulds' concept of progression and the concept of initiation and promotion were developed from model systems in animals. Today, however, it is apparent that the multistage characteristic of carcinogenesis is not unique to these experimental systems...""","Does this sentence contain a metaphor?
Sentence: ""Both foulds' concept of progression and the concept of initiation and promotion were developed from model systems in animals. Today, however, it is apparent that the multistage characteristic of carcinogenesis is not unique to these experimental systems...""",{'no': 3},no,no,LLM matches the gold standard.,True
"QID81 - Does this sentence contain a metaphor?
Sentence: ""Cells of limited lifespan""","Does this sentence contain a metaphor?
Sentence: ""Cells of limited lifespan""",{'yes': 2},yes,**yes**,LLM does NOT match the gold standard.,False
"QID83 - Does this sentence contain a metaphor?
Sentence: ""natural history of chemical carcinogenesis: stages of initiation, promotion, and progression""","Does this sentence contain a metaphor?
Sentence: ""natural history of chemical carcinogenesis: stages of initiation, promotion, and progression""",{'yes': 1},yes,no,LLM does NOT match the gold standard.,False
"QID85 - Does this sentence contain a metaphor?
Sentence: ""DNase footprinting, DNA footprinting""","Does this sentence contain a metaphor?
Sentence: ""DNase footprinting, DNA footprinting""",{'yes': 1},yes,no,LLM does NOT match the gold standard.,False
"QID91 - Does this sentence contain a metaphor?
Sentence: ""The matrix determines tissue architecture, has important biologic functions, and is a mechanical barrier to invasion""","Does this sentence contain a metaphor?
Sentence: ""The matrix determines tissue architecture, has important biologic functions, and is a mechanical barrier to invasion""",{'yes': 3},yes,no,LLM does NOT match the gold standard.,False
"QID87 - Does this sentence contain a metaphor?
Sentence: ""The British-Bangladeshi baker and writer has spoken openly and often about her lifelong struggle with anxiety""","Does this sentence contain a metaphor?
Sentence: ""The British-Bangladeshi baker and writer has spoken openly and often about her lifelong struggle with anxiety""",{'yes': 1},yes,no,LLM does NOT match the gold standard.,False
"QID89 - Does this sentence contain a metaphor?
Sentence: ""[of cancer elements] Their further fate depends on various factors""","Does this sentence contain a metaphor?
Sentence: ""[of cancer elements] Their further fate depends on various factors""","{'no': 1, 'yes': 1}",Tie,no,Tie among humans; accepted.,True
"QID93 - Does this sentence contain a metaphor?
Sentence: ""to suppress colonizing organisms""","Does this sentence contain a metaphor?
Sentence: ""to suppress colonizing organisms""","{'yes': 1, 'no': 1}",Tie,no,Tie among humans; accepted.,True
"QID95 - Does this sentence contain a metaphor?
Sentence: ""providing additional nutrients""","Does this sentence contain a metaphor?
Sentence: ""providing additional nutrients""",{'no': 2},no,**no**,LLM does NOT match the gold standard.,False
"QID97 - Does this sentence contain a metaphor?
Sentence: ""An increased understanding of the mechanisms of tumor cell invasion may lead to the development of pharmacologic agents or strategies that block tumor cell invasion""","Does this sentence contain a metaphor?
Sentence: ""An increased understanding of the mechanisms of tumor cell invasion may lead to the development of pharmacologic agents or strategies that block tumor cell invasion""",{'no': 2},no,no,LLM matches the gold standard.,True
"QID99 - Does this sentence contain a metaphor?
Sentence: ""a single strand is copied from a primer molecule by DNA polymerase""","Does this sentence contain a metaphor?
Sentence: ""a single strand is copied from a primer molecule by DNA polymerase""",{'yes': 1},yes,no,LLM does NOT match the gold standard.,False
"QID101 - Does this sentence contain a metaphor?
Sentence: ""Young children are not infected and do not transmit the virus,"" he said. ""They just don't have the receptors to catch the disease""""","Does this sentence contain a metaphor?
Sentence: ""Young children are not infected and do not transmit the virus,"" he said. ""They just don't have the receptors to catch the disease""""",{'no': 1},no,**no**,LLM does NOT match the gold standard.,False
"QID103 - Does this sentence contain a metaphor?
Sentence: ""...it was hoped that ..., vaccination with antologous or allogeneic tumor cells of the same histologous type would force the immune apparatus to kill residual tumor cells""","Does this sentence contain a metaphor?
Sentence: ""...it was hoped that ..., vaccination with antologous or allogeneic tumor cells of the same histologous type would force the immune apparatus to kill residual tumor cells""",{'no': 3},no,no,LLM matches the gold standard.,True
"QID105 - Does this sentence contain a metaphor?
Sentence: ""biochemical marker, one that is present in some cells of the host but not in others. This mosaicism...""","Does this sentence contain a metaphor?
Sentence: ""biochemical marker, one that is present in some cells of the host but not in others. This mosaicism...""",{'yes': 1},yes,**no**,LLM does NOT match the gold standard.,False
"QID107 - Does this sentence contain a metaphor?
Sentence: ""Developing treatments that attack cancer cells but leave healthy tissue unharmed is the holy grail of cancer research""","Does this sentence contain a metaphor?
Sentence: ""Developing treatments that attack cancer cells but leave healthy tissue unharmed is the holy grail of cancer research""",{'yes': 2},yes,**yes**,LLM does NOT match the gold standard.,False
"QID109 - Does this sentence contain a metaphor?
Sentence: ""All the genetic information of an organism encoded in the DNA genome present in each living cell""","Does this sentence contain a metaphor?
Sentence: ""All the genetic information of an organism encoded in the DNA genome present in each living cell""","{'no': 1, 'yes': 1}",Tie,**no**,Tie among humans; accepted.,True
"QID111 - Does this sentence contain a metaphor?
Sentence: ""Continued invasion of the matrix may take place by cyclic repetition of these three steps""","Does this sentence contain a metaphor?
Sentence: ""Continued invasion of the matrix may take place by cyclic repetition of these three steps""",{'yes': 1},yes,**yes**,LLM does NOT match the gold standard.,False
"QID113 - Does this sentence contain a metaphor?
Sentence: ""[of tumors] their intrinsic aggressiveness""","Does this sentence contain a metaphor?
Sentence: ""[of tumors] their intrinsic aggressiveness""",{'yes': 1},yes,**yes**,LLM does NOT match the gold standard.,False
"QID115 - Does this sentence contain a metaphor?
Sentence: ""The operation promised to reshape organ transplantation""","Does this sentence contain a metaphor?
Sentence: ""The operation promised to reshape organ transplantation""","{'yes': 1, 'no': 1}",Tie,**yes**,Tie among humans; accepted.,True
"QID117 - Does this sentence contain a metaphor?
Sentence: ""In that situation it's so easy to fall ill because it's just not a clean place""","Does this sentence contain a metaphor?
Sentence: ""In that situation it's so easy to fall ill because it's just not a clean place""",{'yes': 1},yes,no,LLM does NOT match the gold standard.,False
"QID119 - Does this sentence contain a metaphor?
Sentence: ""cDNA libraries prepared in a similar manner have been useful for identifying transcripts that are differentially regulated in relted cell types in the so-called subtraction cloning technique. For example, to identify novel transcripts that are expressed in ...""","Does this sentence contain a metaphor?
Sentence: ""cDNA libraries prepared in a similar manner have been useful for identifying transcripts that are differentially regulated in relted cell types in the so-called subtraction cloning technique. For example, to identify novel transcripts that are expressed in ...""","{'no': 1, 'yes': 1}",Tie,**no**,Tie among humans; accepted.,True
"QID121 - Does this sentence contain a metaphor?
Sentence: ""My process of living feels like two divergent realities.""","Does this sentence contain a metaphor?
Sentence: ""My process of living feels like two divergent realities.""","{'yes': 1, 'no': 1}",Tie,**yes**,Tie among humans; accepted.,True
"QID123 - Does this sentence contain a metaphor?
Sentence: ""Like sugar? So does...diabetes""","Does this sentence contain a metaphor?
Sentence: ""Like sugar? So does...diabetes""",{'yes': 2},yes,**yes**,LLM does NOT match the gold standard.,False
"QID127 - Does this sentence contain a metaphor?
Sentence: ""the malignant behavior of these cells""","Does this sentence contain a metaphor?
Sentence: ""the malignant behavior of these cells""",{'yes': 3},yes,**yes**,LLM does NOT match the gold standard.,False
"QID129 - Does this sentence contain a metaphor?
Sentence: ""Both of these barriers have various collagen types that compose the structural scaffolding upon which other matrix components such as ... are assembled.""","Does this sentence contain a metaphor?
Sentence: ""Both of these barriers have various collagen types that compose the structural scaffolding upon which other matrix components such as ... are assembled.""",{'yes': 2},yes,no,LLM does NOT match the gold standard.,False
"QID131 - Does this sentence contain a metaphor?
Sentence: ""susceptible to immune attack""","Does this sentence contain a metaphor?
Sentence: ""susceptible to immune attack""","{'no': 2, 'yes': 1}",no,no,LLM matches the gold standard.,True
"QID133 - Does this sentence contain a metaphor?
Sentence: ""If the collection of DNA fragments inserted into phage is representative of the entire genome ... the collection of lambda phage particles generated is termed a genomic library.""","Does this sentence contain a metaphor?
Sentence: ""If the collection of DNA fragments inserted into phage is representative of the entire genome ... the collection of lambda phage particles generated is termed a genomic library.""","{'yes': 1, 'no': 1}",Tie,no,Tie among humans; accepted.,True
"QID135 - Does this sentence contain a metaphor?
Sentence: ""At the age of 40 I had the chance to look at what was really important and make sure I didn’t miss it.""","Does this sentence contain a metaphor?
Sentence: ""At the age of 40 I had the chance to look at what was really important and make sure I didn’t miss it.""","{'no': 2, 'yes': 1}",no,**no**,LLM does NOT match the gold standard.,False
"QID137 - Does this sentence contain a metaphor?
Sentence: ""Thus in polyclonal populations, interactions are occurring which stabilize and control the behaviour of the complete tumour""","Does this sentence contain a metaphor?
Sentence: ""Thus in polyclonal populations, interactions are occurring which stabilize and control the behaviour of the complete tumour""","{'yes': 1, 'no': 1}",Tie,no,Tie among humans; accepted.,True
"QID139 - Does this sentence contain a metaphor?
Sentence: ""Hannah added: ""This is such a cruel disease""","Does this sentence contain a metaphor?
Sentence: ""Hannah added: ""This is such a cruel disease""","{'yes': 2, 'no': 1}",yes,no,LLM does NOT match the gold standard.,False
"QID141 - Does this sentence contain a metaphor?
Sentence: ""If a pathogen does enter the body then the immune system helps to fight it off""","Does this sentence contain a metaphor?
Sentence: ""If a pathogen does enter the body then the immune system helps to fight it off""",{'yes': 1},yes,no,LLM does NOT match the gold standard.,False
"QID143 - Does this sentence contain a metaphor?
Sentence: ""In 2015, Lisa Nicole Carson opened up about her battle with bipolar disorder, which sidelined her career for over a decade""","Does this sentence contain a metaphor?
Sentence: ""In 2015, Lisa Nicole Carson opened up about her battle with bipolar disorder, which sidelined her career for over a decade""",{'yes': 2},yes,no,LLM does NOT match the gold standard.,False
"QID145 - Does this sentence contain a metaphor?
Sentence: ""[Metastasis] is the process whereby tumour cells escape from the primary and spread to distant sites via the blood and/or lymphatic circulation, or by movement through coelomic spaces, evading or withstanding adverse conditions such as haemodynamic forces and immune attack and then colonise and grow in specific secondary organs.""","Does this sentence contain a metaphor?
Sentence: ""[Metastasis] is the process whereby tumour cells escape from the primary and spread to distant sites via the blood and/or lymphatic circulation, or by movement through coelomic spaces, evading or withstanding adverse conditions such as haemodynamic forces and immune attack and then colonise and grow in specific secondary organs.""",{'yes': 1},yes,**no**,LLM does NOT match the gold standard.,False
"QID147 - Does this sentence contain a metaphor?
Sentence: ""He added: 'I had a few brutal panic attacks, which is why I quit' ""","Does this sentence contain a metaphor?
Sentence: ""He added: 'I had a few brutal panic attacks, which is why I quit' ""","{'no': 1, 'yes': 1}",Tie,no,Tie among humans; accepted.,True
"QID149 - Does this sentence contain a metaphor?
Sentence: ""RNA polymerase begins transcription at a promoter initiation site that lies ""upstream"" of the DNA coding sequence.""","Does this sentence contain a metaphor?
Sentence: ""RNA polymerase begins transcription at a promoter initiation site that lies ""upstream"" of the DNA coding sequence.""",{'no': 1},no,no,LLM matches the gold standard.,True
"QID151 - Does this sentence contain a metaphor?
Sentence: ""Both helper and cytotoxic functions can be ascribed to cells of each lineage, a and other antigens have been useful to further delineate functional subsets within each of these T-cell populations""","Does this sentence contain a metaphor?
Sentence: ""Both helper and cytotoxic functions can be ascribed to cells of each lineage, a and other antigens have been useful to further delineate functional subsets within each of these T-cell populations""",{'yes': 2},yes,no,LLM does NOT match the gold standard.,False
"QID153 - Does this sentence contain a metaphor?
Sentence: ""a tumor cell might move out into the surrounding host tissue and also exert a ""recruiting"" effect on adjacent tumor cells in the presence of an atttractant gradient""","Does this sentence contain a metaphor?
Sentence: ""a tumor cell might move out into the surrounding host tissue and also exert a ""recruiting"" effect on adjacent tumor cells in the presence of an atttractant gradient""","{'no': 1, 'yes': 1}",Tie,**yes**,Tie among humans; accepted.,True
"QID155 - Does this sentence contain a metaphor?
Sentence: ""It wasn't something they had done before, and removing organs from such a small baby, and transplanting them, poses extra challenges""","Does this sentence contain a metaphor?
Sentence: ""It wasn't something they had done before, and removing organs from such a small baby, and transplanting them, poses extra challenges""",{'no': 2},no,no,LLM matches the gold standard.,True
"QID157 - Does this sentence contain a metaphor?
Sentence: ""Some of the antigens can be stripped off the tumor cells by the antibody without interfering with the life of the cell""","Does this sentence contain a metaphor?
Sentence: ""Some of the antigens can be stripped off the tumor cells by the antibody without interfering with the life of the cell""",{'yes': 2},yes,no,LLM does NOT match the gold standard.,False
"QID161 - Does this sentence contain a metaphor?
Sentence: ""The 3' untranslated portion of the message""","Does this sentence contain a metaphor?
Sentence: ""The 3' untranslated portion of the message""",{'no': 1},no,**no**,LLM does NOT match the gold standard.,False
"QID164 - Does this sentence contain a metaphor?
Sentence: ""The whole problem of cancer and growth control is intimately bound up with agents acting from outside the cell an with responses of cells to them.""","Does this sentence contain a metaphor?
Sentence: ""The whole problem of cancer and growth control is intimately bound up with agents acting from outside the cell an with responses of cells to them.""",{'yes': 3},yes,no,LLM does NOT match the gold standard.,False
"QID166 - Does this sentence contain a metaphor?
Sentence: ""Some of these transport mechanisms""","Does this sentence contain a metaphor?
Sentence: ""Some of these transport mechanisms""","{'no': 1, 'yes': 1}",Tie,no,Tie among humans; accepted.,True
"QID168 - Does this sentence contain a metaphor?
Sentence: ""neoplasms can be heterogeneous in their propensity to invade and metastasize""","Does this sentence contain a metaphor?
Sentence: ""neoplasms can be heterogeneous in their propensity to invade and metastasize""","{'no': 1, 'yes': 1}",Tie,no,Tie among humans; accepted.,True
"QID170 - Does this sentence contain a metaphor?
Sentence: ""experts believe infection may cause blood clots, heart attacks and cardiac inflammation""","Does this sentence contain a metaphor?
Sentence: ""experts believe infection may cause blood clots, heart attacks and cardiac inflammation""",{'no': 1},no,no,LLM matches the gold standard.,True
"QID172 - Does this sentence contain a metaphor?
Sentence: ""a major mechanism for the induction of neoplasia in immunosuppressed patients is the loss of host resistance to neoplastic cells...""","Does this sentence contain a metaphor?
Sentence: ""a major mechanism for the induction of neoplasia in immunosuppressed patients is the loss of host resistance to neoplastic cells...""","{'no': 2, 'yes': 1}",no,no,LLM matches the gold standard.,True
"QID174 - Does this sentence contain a metaphor?
Sentence: ""Reverse transcriptase: An enzyme produced by retroviruses that makes complementary DNA (cDNA) copies of RNA. The process is called reverse transcription""","Does this sentence contain a metaphor?
Sentence: ""Reverse transcriptase: An enzyme produced by retroviruses that makes complementary DNA (cDNA) copies of RNA. The process is called reverse transcription""",{'no': 1},no,no,LLM matches the gold standard.,True
"QID176 - Does this sentence contain a metaphor?
Sentence: ""these enzymes are produced in bacteria and are part of an elaborate restriction/modification system that protects the bacteria from invasion by foreign DNA""","Does this sentence contain a metaphor?
Sentence: ""these enzymes are produced in bacteria and are part of an elaborate restriction/modification system that protects the bacteria from invasion by foreign DNA""","{'yes': 2, 'no': 1}",yes,**no**,LLM does NOT match the gold standard.,False
"QID178 - Does this sentence contain a metaphor?
Sentence: ""The synthetic ""scaffold"" for Beyene's new trachea was made in a lab in London. It was seeded with stem cells taken from the patient's bone marrow""","Does this sentence contain a metaphor?
Sentence: ""The synthetic ""scaffold"" for Beyene's new trachea was made in a lab in London. It was seeded with stem cells taken from the patient's bone marrow""",{'yes': 1},yes,**no**,LLM does NOT match the gold standard.,False
"QID182 - Does this sentence contain a metaphor?
Sentence: ""The homing potential of cells is affacted by radiation""","Does this sentence contain a metaphor?
Sentence: ""The homing potential of cells is affacted by radiation""",{'no': 1},no,no,LLM matches the gold standard.,True
"QID184 - Does this sentence contain a metaphor?
Sentence: ""repopulation of surviving cells""","Does this sentence contain a metaphor?
Sentence: ""repopulation of surviving cells""","{'no': 1, 'yes': 1}",Tie,no,Tie among humans; accepted.,True
"QID186 - Does this sentence contain a metaphor?
Sentence: ""the multistep process of neoplasia""","Does this sentence contain a metaphor?
Sentence: ""the multistep process of neoplasia""",{'no': 1},no,no,LLM matches the gold standard.,True
"QID188 - Does this sentence contain a metaphor?
Sentence: ""Lyme disease - a bacterial infection - is carried by some species of ticks, and about 13% in the UK are believed to be infected""","Does this sentence contain a metaphor?
Sentence: ""Lyme disease - a bacterial infection - is carried by some species of ticks, and about 13% in the UK are believed to be infected""",{'no': 2},no,no,LLM matches the gold standard.,True
"QID190 - Does this sentence contain a metaphor?
Sentence: ""drugs that target the cells with precision, effectively destroying the engine at the heart of the disease""","Does this sentence contain a metaphor?
Sentence: ""drugs that target the cells with precision, effectively destroying the engine at the heart of the disease""","{'yes': 1, 'no': 1}",Tie,**yes**,Tie among humans; accepted.,True
